prod_id,retailer,product_name,original_number_reviews,rating
P211901,sephora,Autograph Eyeliner,1690,88
P302923,sephora,Pure Radiant Tinted Moisturizer Broad Spectrum SPF 30,1688,88
P78811,sephora,Photo Finish Color Correcting Foundation Primer,1684,82
P286513,sephora,Retractable Brow Pencil - Waterproof,1680,86
P261621,sephora,Smudge Stick Waterproof Eye Liner,1668,80
P241301,sephora,Primed & Poreless Skin Smoothing Face Primer,1665,86
P61217,sephora,Green Tea Blotting Linens,1655,90
P384402,sephora,The Chocolate Bar Eye Palette,1654,94
P262109,sephora,Aqua Cream,1653,88
P183919,sephora,Aqua Lip Waterproof Lipliner Pencil,1653,90
P384629,sephora,Agave Lip Mask,1647,88
P194400,sephora,Superbalm Moisturizing Gloss,1616,90
P69305,sephora,Perfect Brow Pencil,1607,88
P223714,sephora,Glitter Eyeliner,1605,80
P377723,sephora,Ambient Lighting Powder,1604,86
P206900,sephora,Lash Power Mascara Long-Wearing Formula,1598,88
VP11431,ulta,Mineral Powder Foundation,1595,86
P109931,sephora,Secret Camouflage,1582,82
P386033,sephora,Melted Liquified Long Wear Lipstick,1578,78
P189147,sephora,'That Gal' Brightening Face Primer,1576,82
P202004,sephora,O-GLOSS - Intuitive Lip Gloss With Goji Berry-C Complex™,1573,86
P191603,sephora,Photo Finish Foundation Primer Light,1568,86
P285403,sephora,Premium Beauty Balm SPF 45,1565,86
P280202,sephora,Argan Matchmaker Serum Foundation,1559,80
P304003,sephora,ROUGE PUR COUTURE<br>Vernis À Lèvres Glossy Stain,1559,86
P261211,sephora,Smudge Proof Eyeshadow Base,1552,94
xlsImpprod5770325,ulta,Gimme Brow,1544,90
P376506,sephora,Lip Tar - Matte,1530,78
P266126,sephora,Rosebud Salve in a Tube,1527,90
xlsImpprod4260015,ulta,Expert Face Brush,1526,94
P232323,sephora,Photo Finish Lid Primer,1497,86
P229406,sephora,Soleil Matte Bronzer,1489,94
P379434,sephora,Highliner Gel Eye Crayon,1486,84
xlsImpprod2290003,ulta,The POREfessional,1481,86
P164932,sephora,Minted Rose Lip Balm,1480,92
